poisonous,cap-shape,cap-color,bruises,gill-color,stalk-shape,veil-color,ring-number,spore-print-color,population,habitat
e,x,w,t,w,e,w,o,n,s,g
e,x,n,f,p,t,w,o,n,a,g
e,x,w,t,g,e,w,o,n,s,g
e,s,n,f,k,e,w,o,k,v,u
e,x,w,t,w,t,w,o,u,v,d
e,x,n,t,w,e,w,o,k,s,g
e,b,y,t,k,e,w,o,n,n,g
e,x,w,t,k,e,w,o,n,n,g
e,b,w,t,n,e,w,o,k,s,m
e,b,y,t,g,e,w,o,k,s,g
e,b,y,t,g,e,w,o,k,s,m
e,b,y,t,n,e,w,o,k,n,g
e,x,n,f,k,e,w,o,n,y,u
e,f,n,t,n,e,w,o,n,y,g
e,x,w,t,k,e,w,o,n,s,g
e,f,y,t,w,e,w,o,n,y,p
e,b,w,t,w,e,w,o,n,s,g
e,b,w,t,w,e,w,o,k,s,m
e,x,n,t,w,e,w,o,k,y,g
e,b,w,t,k,e,w,o,k,s,g
e,x,g,f,g,e,w,o,n,y,u
e,b,y,t,k,e,w,o,n,s,g
e,x,y,t,n,t,w,o,u,v,d
e,b,y,t,w,e,w,o,k,s,g
e,f,y,t,p,e,w,o,n,s,g
e,b,w,t,w,e,w,o,k,n,m
e,b,w,t,k,e,w,o,k,n,m
e,b,y,t,g,e,w,o,n,s,g
e,x,y,t,g,e,w,o,n,n,m
e,b,y,t,g,e,w,o,n,n,g
p,x,w,t,p,e,w,o,n,v,u
e,s,n,f,g,e,w,o,n,y,u
e,f,n,f,g,e,w,o,k,v,u
e,x,y,t,g,e,w,o,n,s,m
e,f,n,t,p,e,w,o,k,s,p
p,x,w,t,k,e,w,o,k,s,g
e,b,w,t,g,e,w,o,n,s,m
e,f,g,f,p,e,w,o,k,v,u
e,b,y,t,g,e,w,o,n,n,g
e,x,n,t,w,e,w,o,n,y,p
e,x,w,f,p,t,w,o,k,s,g
e,x,w,t,w,t,w,o,n,v,d
e,b,w,t,w,e,w,o,n,s,m
e,f,y,t,w,t,w,o,n,v,d
e,x,y,t,k,e,w,o,n,n,m
e,f,g,f,g,e,w,o,n,y,u
e,b,y,t,n,e,w,o,k,s,g
e,x,w,t,g,e,w,o,n,n,m
e,x,w,t,n,e,w,o,n,s,m
e,f,w,t,n,t,w,o,n,v,d
e,x,y,t,w,e,w,o,n,s,g
e,b,w,t,w,e,w,o,k,s,g
e,x,w,t,g,e,w,o,k,n,g
e,x,w,f,h,t,w,o,k,s,g
e,f,n,t,n,e,w,o,k,y,p
p,x,w,t,k,e,w,o,n,v,u
e,b,w,t,n,e,w,o,n,n,g
e,b,w,t,k,e,w,o,k,s,m
e,b,w,t,n,e,w,o,n,n,g
e,b,w,t,w,e,w,o,k,n,g
e,x,y,t,w,e,w,o,k,s,g
e,b,w,t,w,e,w,o,k,n,m
e,x,y,t,n,t,w,o,n,v,d
e,x,g,f,n,e,w,o,n,y,u
e,f,y,t,n,e,w,o,n,s,g
e,b,w,t,n,e,w,o,k,n,m
e,x,y,t,g,e,w,o,k,s,g
e,x,y,t,k,e,w,o,k,s,g
e,x,w,t,w,e,w,o,n,s,g
e,s,g,f,p,e,w,o,n,v,u
e,x,w,t,n,e,w,o,n,n,m
p,x,w,t,k,e,w,o,k,s,g
e,x,y,t,n,e,w,o,n,s,g
e,f,w,t,p,t,w,o,n,v,d
e,x,w,t,g,e,w,o,k,n,m
e,b,w,t,n,e,w,o,k,s,g
e,x,w,t,g,e,w,o,n,n,g
e,x,y,t,g,e,w,o,n,s,g
p,x,n,t,p,e,w,o,k,v,u
e,b,y,t,n,e,w,o,n,n,g
e,x,g,f,n,e,w,o,k,y,u
p,x,w,t,k,e,w,o,k,s,u
e,x,y,t,n,e,w,o,n,y,p
e,f,n,f,k,e,w,o,k,v,u
e,b,w,t,k,e,w,o,n,n,g
e,x,w,t,w,t,w,o,n,v,d
e,x,w,t,w,e,w,o,k,s,g
e,b,y,t,n,e,w,o,n,s,g
e,x,y,t,n,e,w,o,k,s,g
e,f,y,t,p,e,w,o,k,s,p
e,f,y,t,w,e,w,o,k,y,p
e,x,w,t,w,e,w,o,k,s,g
e,x,w,t,w,e,w,o,n,n,m
p,x,w,t,n,e,w,o,k,v,u
e,f,w,t,p,t,w,o,u,v,d
e,x,w,t,w,e,w,o,n,s,g
e,x,w,t,p,t,w,o,u,v,d
e,x,w,t,n,e,w,o,k,s,m
e,f,y,t,w,e,w,o,k,y,p
e,x,n,f,p,t,w,o,k,s,g
e,f,y,t,w,e,w,o,n,y,g
p,x,n,t,p,e,w,o,n,s,g
e,s,n,f,g,e,w,o,n,v,u
e,b,y,t,w,e,w,o,n,s,m
e,b,w,t,n,e,w,o,n,s,g
e,b,w,t,k,e,w,o,n,n,m
e,f,n,f,k,e,w,o,n,v,u
e,x,w,t,w,e,w,o,k,n,m
e,b,w,t,g,e,w,o,k,n,g
e,b,w,t,g,e,w,o,n,n,m
e,f,n,t,w,e,w,o,n,s,g
p,x,w,t,k,e,w,o,k,v,g
e,x,w,t,n,e,w,o,n,n,g
e,x,w,t,n,e,w,o,n,s,m
e,f,w,t,w,t,w,o,u,v,d
e,f,g,f,g,e,w,o,k,v,u
e,f,g,f,p,t,w,o,k,a,g
e,x,y,t,g,e,w,o,n,s,m
e,b,w,t,k,e,w,o,n,s,m
p,f,n,t,w,e,w,o,k,s,u
e,x,w,t,n,e,w,o,k,n,m
p,f,n,t,w,e,w,o,k,v,u
e,x,w,t,k,e,w,o,n,s,g
e,x,y,t,k,e,w,o,n,n,m
e,f,y,t,n,e,w,o,n,s,p
e,x,n,t,w,e,w,o,n,s,p
e,f,n,t,w,e,w,o,n,y,g
e,x,w,t,w,e,w,o,n,n,m
e,f,n,f,h,t,w,o,k,s,g
e,x,y,t,k,e,w,o,n,n,m
p,x,w,t,w,e,w,o,n,s,g
e,b,y,t,n,e,w,o,n,n,m
e,s,n,f,p,e,w,o,n,v,u
e,x,y,t,k,e,w,o,k,s,m
e,b,w,t,n,e,w,o,k,n,m
e,f,n,t,n,e,w,o,k,s,g
e,b,y,t,g,e,w,o,k,s,m
e,b,w,t,g,e,w,o,k,s,g
e,x,n,t,n,e,w,o,n,y,p
e,f,g,f,p,e,w,o,n,y,u
e,x,g,f,g,e,w,o,k,y,u
e,b,y,t,n,e,w,o,k,s,g
e,x,y,t,n,e,w,o,k,s,m
e,b,w,t,k,e,w,o,n,s,g
e,x,w,t,g,e,w,o,k,s,m
e,b,y,t,g,e,w,o,n,n,m
e,x,y,t,k,e,w,o,k,s,m
e,x,g,f,p,t,w,o,k,s,g
e,f,y,t,p,t,w,o,n,v,d
p,x,w,t,p,e,w,o,k,s,g
e,x,w,f,k,t,w,o,k,a,g
e,b,w,t,w,e,w,o,k,s,g
e,x,y,t,w,t,w,o,n,v,d
e,b,w,t,n,e,w,o,k,s,g
e,x,w,t,g,e,w,o,k,s,g
e,x,n,t,p,t,w,o,n,y,d
e,b,w,t,k,e,w,o,n,s,m
e,x,y,t,g,e,w,o,n,n,m
e,f,n,t,p,e,w,o,k,y,g
e,x,w,f,n,t,w,o,n,s,g
e,x,y,t,w,e,w,o,k,s,g
p,x,w,t,n,e,w,o,n,v,g
e,x,y,t,n,e,w,o,k,s,g
e,x,w,t,p,t,w,o,n,v,d
e,b,y,t,g,e,w,o,n,n,g
p,x,w,t,k,e,w,o,k,v,u
e,x,y,t,w,t,w,o,n,v,d
e,x,w,t,k,e,w,o,k,n,m
e,x,w,t,n,t,w,o,n,v,d
e,f,w,t,w,t,w,o,n,v,d
e,x,y,t,k,e,w,o,n,s,m
e,f,y,t,w,t,w,o,u,v,d
e,x,w,t,w,e,w,o,k,s,g
e,b,y,t,n,e,w,o,k,s,m
e,x,n,t,p,e,w,o,n,s,p
e,b,w,t,k,e,w,o,k,n,g
e,x,y,t,n,e,w,o,n,s,m
p,x,n,t,n,e,w,o,n,v,u
e,b,y,t,w,e,w,o,k,n,g
e,b,w,t,g,e,w,o,k,n,g
p,x,n,t,w,e,w,o,k,v,u
e,b,w,t,n,e,w,o,k,s,m
e,b,y,t,w,e,w,o,n,n,m
e,b,y,t,n,e,w,o,k,s,g
e,x,w,t,g,e,w,o,n,n,g
e,x,n,t,p,t,w,o,k,y,d
e,x,n,t,w,e,w,o,k,y,g
e,b,y,t,n,e,w,o,n,s,g
e,x,g,f,g,e,w,o,n,v,u
e,x,n,t,n,e,w,o,k,y,g
e,x,w,t,k,e,w,o,n,s,g
e,b,w,t,n,e,w,o,k,n,g
e,x,y,t,g,e,w,o,k,s,m
e,f,y,t,p,t,w,o,n,v,d
e,b,y,t,g,e,w,o,n,s,g
e,x,n,f,n,t,w,o,n,a,g
e,x,y,t,n,t,w,o,n,v,d
e,x,y,t,n,e,w,o,n,n,m
e,f,g,f,n,t,w,o,k,s,g
e,x,n,f,g,e,w,o,n,y,u
e,f,g,f,h,t,w,o,n,a,g
e,f,n,t,p,e,w,o,n,s,p
e,b,w,t,k,e,w,o,n,s,g
e,b,y,t,k,e,w,o,k,s,m
e,x,y,t,w,e,w,o,k,s,p
e,s,g,f,g,e,w,o,n,v,u
e,f,n,t,p,e,w,o,n,y,p
p,x,n,t,k,e,w,o,k,s,u
e,x,y,t,p,e,w,o,n,y,p
e,x,y,t,w,e,w,o,n,s,g
e,x,n,f,h,t,w,o,n,s,g
e,x,n,f,p,t,w,o,k,a,g
e,f,n,f,k,t,w,o,k,a,g
e,f,n,t,n,e,w,o,n,s,p
e,x,y,t,w,e,w,o,k,n,g
e,f,n,f,p,e,w,o,k,v,u
e,x,y,t,w,e,w,o,n,s,p
e,x,y,t,p,t,w,o,u,v,d
e,b,y,t,g,e,w,o,n,n,g
e,x,g,f,n,t,w,o,k,s,g
e,x,y,t,w,e,w,o,n,s,g
e,f,n,t,n,e,w,o,k,y,g
e,x,y,t,w,e,w,o,k,s,m
e,s,n,f,n,e,w,o,n,y,u
e,x,w,t,k,e,w,o,k,s,m
e,b,w,t,n,e,w,o,k,n,g
e,s,n,f,k,e,w,o,k,y,u
e,b,y,t,n,e,w,o,n,n,m
e,x,y,t,k,e,w,o,n,n,g
e,b,y,t,k,e,w,o,n,s,g
p,x,n,t,p,e,w,o,k,s,u
e,x,w,f,k,t,w,o,n,s,g
e,x,w,t,w,e,w,o,k,s,m
e,b,w,t,g,e,w,o,n,n,g
e,x,n,t,n,t,w,o,n,y,d
p,x,n,t,w,e,w,o,n,s,u
e,x,n,t,w,e,w,o,k,y,p
e,x,n,f,n,t,w,o,k,a,g
e,b,y,t,n,e,w,o,k,n,m
e,x,y,t,w,e,w,o,n,n,m
e,b,y,t,n,e,w,o,n,s,m
e,x,y,t,g,e,w,o,k,n,m
e,b,w,t,n,e,w,o,n,n,g
e,x,g,f,k,e,w,o,n,v,u
e,f,n,t,w,e,w,o,k,s,g
e,x,g,f,h,t,w,o,n,a,g
e,x,w,t,k,e,w,o,n,n,m
e,x,y,t,w,e,w,o,n,s,m
e,x,g,f,n,e,w,o,k,v,u
p,x,n,t,p,e,w,o,n,s,u
e,b,w,t,w,e,w,o,n,n,g
e,b,w,t,n,e,w,o,k,n,m
p,x,n,t,p,e,w,o,n,v,u
e,b,y,t,w,e,w,o,n,s,m
e,x,w,t,k,e,w,o,n,s,m
e,x,y,t,n,e,w,o,k,s,m
e,b,y,t,n,e,w,o,n,n,g
e,x,w,t,g,e,w,o,n,s,m
e,x,w,t,g,e,w,o,k,s,g
e,x,n,t,w,e,w,o,n,y,p
e,x,w,t,w,e,w,o,n,s,m
e,x,n,f,n,t,w,o,k,s,g
e,x,n,t,n,e,w,o,n,s,p
e,x,y,t,n,e,w,o,k,y,g
p,x,n,t,k,e,w,o,k,v,g
e,b,y,t,w,e,w,o,n,n,g
e,x,w,t,p,t,w,o,u,v,d
p,x,n,t,w,e,w,o,k,s,u
e,x,y,t,k,e,w,o,k,n,g
e,f,g,f,h,t,w,o,n,a,g
e,x,w,t,n,e,w,o,k,s,g
e,b,w,t,w,e,w,o,n,s,m
p,x,n,t,p,e,w,o,n,s,u
e,f,n,t,w,e,w,o,k,s,g
e,x,w,t,n,e,w,o,n,n,m
e,x,w,t,n,t,w,o,n,v,d
e,f,n,t,n,e,w,o,n,y,p
e,b,w,t,k,e,w,o,n,n,m
e,x,w,f,p,t,w,o,k,a,g
e,f,g,f,n,e,w,o,n,v,u
e,x,w,t,g,e,w,o,n,s,g
e,x,y,t,n,e,w,o,n,y,g
e,b,y,t,g,e,w,o,n,s,g
e,b,y,t,w,e,w,o,k,s,g
e,f,w,t,n,t,w,o,n,v,d
e,b,w,t,w,e,w,o,k,n,m
e,x,y,t,n,t,w,o,u,v,d
e,x,w,t,g,e,w,o,n,n,m
e,b,y,t,k,e,w,o,n,n,m
e,x,n,t,p,e,w,o,n,y,p
e,x,w,t,n,e,w,o,k,s,m
e,x,w,t,g,e,w,o,k,s,m
e,x,y,t,p,e,w,o,k,y,p
e,x,w,t,n,e,w,o,k,n,m
e,x,y,t,w,e,w,o,k,n,m
e,x,n,t,p,e,w,o,k,s,g
e,x,w,t,n,e,w,o,n,n,g
e,f,n,t,n,e,w,o,k,s,g
e,b,w,t,w,e,w,o,k,s,m
e,x,n,t,n,t,w,o,n,y,d
e,x,w,t,k,e,w,o,n,s,m
e,b,w,t,g,e,w,o,k,n,g
e,b,y,t,g,e,w,o,k,n,m
e,x,y,t,p,t,w,o,n,v,d
e,b,w,t,g,e,w,o,n,n,m
e,x,g,f,h,t,w,o,k,a,g
e,b,w,t,k,e,w,o,n,n,g
e,b,y,t,w,e,w,o,k,s,m
e,f,y,t,n,e,w,o,k,y,p
e,f,n,t,w,e,w,o,n,y,p
e,x,w,t,k,e,w,o,n,s,m
e,f,y,t,n,e,w,o,n,s,g
e,b,w,t,g,e,w,o,k,s,g
e,x,y,t,w,e,w,o,n,n,m
e,x,n,f,k,e,w,o,k,v,u
e,f,n,t,p,e,w,o,n,y,g
e,x,w,t,g,e,w,o,k,n,m
e,x,y,t,g,e,w,o,k,n,g
e,b,y,t,g,e,w,o,k,n,g
e,f,y,t,w,e,w,o,n,s,p
e,x,y,t,g,e,w,o,k,n,g
e,x,w,t,w,e,w,o,k,n,m
e,f,w,t,n,t,w,o,u,v,d
e,s,g,f,k,e,w,o,k,y,u
e,f,y,t,n,t,w,o,n,v,d
e,f,g,f,k,e,w,o,k,y,u
e,x,n,f,p,e,w,o,n,y,u
e,b,w,t,w,e,w,o,n,n,g
e,x,w,t,p,t,w,o,n,v,d
e,b,y,t,n,e,w,o,k,s,m
e,b,y,t,k,e,w,o,k,s,m
e,b,y,t,g,e,w,o,k,s,g
e,f,w,t,p,t,w,o,u,v,d
e,f,g,f,g,e,w,o,k,y,u
e,f,w,t,w,t,w,o,n,v,d
e,f,y,t,p,e,w,o,k,y,g
e,x,w,t,w,e,w,o,n,s,m
e,s,n,f,p,e,w,o,n,y,u
e,x,n,t,n,e,w,o,k,s,p
e,x,n,t,n,e,w,o,k,s,p
e,f,y,t,n,t,w,o,u,v,d
p,f,n,t,p,e,w,o,n,s,g
p,x,n,t,k,e,w,o,n,v,u
e,f,n,t,w,e,w,o,n,s,p
e,x,y,t,w,e,w,o,k,s,g
e,b,y,t,k,e,w,o,n,n,m
e,f,w,f,h,t,w,o,n,a,g
e,f,n,t,p,e,w,o,n,s,g
e,x,w,t,n,e,w,o,n,s,g
e,b,y,t,w,e,w,o,k,n,m
e,x,y,t,w,e,w,o,n,n,g
e,b,y,t,g,e,w,o,k,n,g
e,x,w,t,g,e,w,o,k,n,m
e,b,y,t,w,e,w,o,k,s,m
e,b,y,t,w,e,w,o,n,s,g
p,x,n,t,n,e,w,o,n,v,g
e,x,g,f,p,t,w,o,n,s,g
e,f,n,f,p,t,w,o,n,a,g
e,x,w,t,n,t,w,o,n,v,d
e,f,g,f,p,e,w,o,n,v,u
e,f,n,f,k,e,w,o,n,y,u
e,b,y,t,k,e,w,o,k,s,g
e,x,w,t,n,t,w,o,u,v,d
e,s,g,f,n,e,w,o,n,v,u
e,x,n,f,k,e,w,o,n,v,u
e,x,w,f,h,t,w,o,n,a,g
e,x,n,t,n,e,w,o,k,y,p
e,b,y,t,k,e,w,o,k,n,g
e,x,w,t,k,e,w,o,k,s,g
e,x,y,t,k,e,w,o,n,n,g
e,x,w,t,w,e,w,o,k,n,m
e,b,w,t,n,e,w,o,k,s,g
e,f,y,t,p,e,w,o,n,y,p
p,x,n,t,n,e,w,o,n,s,u
e,f,g,f,n,e,w,o,k,y,u
e,b,y,t,w,e,w,o,n,s,g
e,f,n,t,w,e,w,o,n,s,p
e,x,y,t,k,e,w,o,n,s,m
e,x,n,f,k,e,w,o,k,y,u
e,f,y,t,w,e,w,o,n,y,p
e,x,n,t,n,e,w,o,n,y,p
e,x,w,t,n,e,w,o,k,s,g
p,x,w,t,n,e,w,o,k,s,g
e,f,n,t,w,e,w,o,k,y,p
p,f,n,t,k,e,w,o,k,s,g
e,x,w,f,k,t,w,o,k,s,g
e,b,w,t,k,e,w,o,k,s,m
e,s,n,f,p,e,w,o,k,v,u
e,x,y,t,g,e,w,o,n,s,m
e,f,w,t,p,t,w,o,u,v,d
e,x,y,t,n,e,w,o,k,s,m
e,f,g,f,p,t,w,o,k,s,g
p,x,w,t,n,e,w,o,n,s,g
e,x,y,t,p,e,w,o,k,s,g
e,f,n,f,n,t,w,o,k,a,g
e,x,w,t,w,e,w,o,k,s,m
e,b,y,t,g,e,w,o,n,s,m
e,f,g,f,g,e,w,o,n,v,u
e,x,y,t,p,t,w,o,u,v,d
e,x,y,t,g,e,w,o,n,n,m
e,f,n,f,n,e,w,o,n,y,u
e,x,g,f,h,t,w,o,n,s,g
e,x,y,t,p,e,w,o,k,s,p
e,f,w,t,p,t,w,o,n,v,d
e,x,y,t,k,e,w,o,k,s,g
e,f,y,t,p,e,w,o,k,y,p
p,x,n,t,k,e,w,o,k,v,u
e,x,w,t,w,t,w,o,u,v,d
e,x,w,t,w,e,w,o,k,n,g
e,x,y,t,g,e,w,o,n,n,m
e,b,y,t,g,e,w,o,n,s,g
e,x,y,t,w,t,w,o,u,v,d
e,x,y,t,n,t,w,o,u,v,d
e,x,w,f,n,t,w,o,k,s,g
e,b,w,t,w,e,w,o,n,s,m
p,x,w,t,w,e,w,o,k,v,g
e,x,y,t,g,e,w,o,n,n,g
e,f,g,f,k,t,w,o,k,s,g
p,x,n,t,n,e,w,o,n,s,g
e,b,w,t,w,e,w,o,k,n,m
e,x,w,t,k,e,w,o,k,n,m
e,f,y,t,n,t,w,o,n,v,d
e,x,y,t,k,e,w,o,k,n,g
e,b,w,t,w,e,w,o,k,n,g
e,x,n,t,w,e,w,o,n,y,g
e,x,y,t,w,e,w,o,n,s,g
e,x,n,f,p,e,w,o,n,v,u
e,x,y,t,n,e,w,o,n,s,g
e,x,y,t,w,e,w,o,n,y,g
p,x,n,t,w,e,w,o,n,s,g
e,x,w,t,g,e,w,o,n,n,m
e,x,y,t,w,e,w,o,n,s,m
e,x,w,t,k,e,w,o,k,n,g
e,x,y,t,n,e,w,o,n,y,g
e,f,y,t,w,e,w,o,k,s,g
e,x,w,t,k,e,w,o,n,s,m
e,s,g,f,g,e,w,o,k,v,u
e,f,n,f,n,e,w,o,k,y,u
e,s,g,f,n,e,w,o,k,v,u
e,x,w,t,n,e,w,o,k,n,m
p,x,w,t,k,e,w,o,k,s,u
e,x,g,f,h,t,w,o,k,s,g
e,x,y,t,g,e,w,o,k,s,g
p,x,w,t,k,e,w,o,n,s,g
e,x,y,t,g,e,w,o,k,n,m
p,x,n,t,p,e,w,o,k,v,u
e,b,y,t,n,e,w,o,k,n,m
e,b,w,t,g,e,w,o,k,s,m
p,x,w,t,p,e,w,o,n,s,g
p,x,n,t,n,e,w,o,k,s,u
e,x,g,f,n,t,w,o,n,a,g
e,x,n,t,w,e,w,o,n,y,g
e,f,w,f,k,t,w,o,n,a,g
e,f,n,t,n,e,w,o,n,s,p
e,b,w,t,w,e,w,o,k,s,m
e,b,w,t,n,e,w,o,k,n,g
e,x,g,f,n,t,w,o,n,s,g
e,f,n,t,n,e,w,o,k,y,g
e,x,w,t,w,e,w,o,k,s,m
e,f,g,f,n,e,w,o,k,v,u
e,f,n,f,h,t,w,o,n,a,g
e,x,g,f,n,t,w,o,n,s,g
e,f,w,f,p,t,w,o,k,a,g
p,x,w,t,k,e,w,o,n,s,u
e,x,y,t,p,e,w,o,k,s,g
e,b,w,t,g,e,w,o,k,s,g
e,f,g,f,p,t,w,o,k,a,g
e,b,w,t,g,e,w,o,k,s,g
e,b,y,t,n,e,w,o,n,n,m
e,s,g,f,n,e,w,o,n,y,u
e,f,y,t,p,e,w,o,k,s,g
e,b,w,t,w,e,w,o,n,n,g
e,x,w,t,n,t,w,o,u,v,d
e,f,y,t,n,e,w,o,k,s,p
e,f,g,f,p,e,w,o,k,y,u
e,x,w,t,g,e,w,o,k,s,m
e,f,y,t,w,t,w,o,u,v,d
e,s,g,f,p,e,w,o,k,y,u
e,b,w,t,g,e,w,o,n,s,g
e,b,w,t,k,e,w,o,k,n,g
e,f,n,f,n,t,w,o,n,s,g
